App,Category,Description,Auth,Self-Serve,Self-Serve Detail,API Type,MCP,Buildability,Blocker,Evidence,SDK,Rate Limits,Webhooks,Sandbox,Format,Confidence,app_id
Supabase,"Developer, Infra and Data platforms","Open source Firebase alternative providing Postgres database, auth, storage, and serverless functions.","API Key, Bearer Token, JWT",Self-serve free,Supabase offers a self-serve free tier as well as paid tiers for projects.,REST (Broad (100+ endpoints)),"<a href=""https://supabase.com/docs"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,Not found in docs,"<a href=""https://supabase.com/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">supabase.com/docs...</a>","JavaScript, Flutter, Python, C#, Swift, Kotlin",Not found in docs,Yes,No,JSON,HIGH,65
Neo4j,"Developer, Infra and Data platforms",Graph database management system for storing and querying highly connected data.,"Basic Auth, Bearer Token",Self-serve free,"Neo4j offers a free tier (Aura Free) and self-serve developer instances, alongside open-source self-hosted community editions.",REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://neo4j.com/docs/api"" target=""_blank"" class=""text-blue-600 hover:underline"">neo4j.com/docs/api...</a>","Python, JavaScript, Java, Go, .NET",Varies by plan,Yes,Yes,JSON,HIGH,66
Snowflake,"Developer, Infra and Data platforms","Cloud-native data platform providing data warehousing, data lakes, data engineering, data science, and data application development.","OAuth2, Key-pair authentication, Basic Auth",Free trial then paid,Snowflake offers a 30-day free trial with $400 worth of credits; production usage requires a paid subscription via consumption-based pricing.,REST and SQL-based APIs (Broad (Full administrative and data manipulation coverage)),No,Ready,,"<a href=""https://docs.snowflake.com/en/developer-guide/sql-api/index"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.snowflake.com/en/develope...</a>, <a href=""https://docs.snowflake.com/en/developer-guide/python-connector"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.snowflake.com/en/develope...</a>","Python, Java, Node.js, Go, C#, .NET",Documented (Varies by endpoint and service level),Yes,No,JSON,HIGH,67
MongoDB Atlas,"Developer, Infra and Data platforms",Manage MongoDB Atlas cloud database deployments and resources programmatically.,"API Key, Other",Self-serve free,Users can sign up for a free tier and access programmatic management tools.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://www.mongodb.com/docs/atlas/api"" target=""_blank"" class=""text-blue-600 hover:underline"">www.mongodb.com/docs/atlas/api...</a>","Go, JavaScript, TypeScript, Python, Java, C#",Not documented,No,No,JSON,HIGH,68
Datadog,"Developer, Infra and Data platforms","Cloud-scale monitoring and security platform for metrics, traces, logs, and systems.","API Key, Bearer Token, OAuth2",Free trial then paid,Datadog provides self-serve signups with a trial period followed by paid tier options.,REST (Broad (100+ endpoints)),"<a href=""https://docs.datadoghq.com/api/latest.md"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None found,"<a href=""https://docs.datadoghq.com/api/latest.md"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.datadoghq.com/api/latest....</a>, <a href=""https://docs.datadoghq.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.datadoghq.com/api...</a>","Python, JavaScript, Go, Ruby, Java",Varies by plan,Yes,No,JSON,HIGH,69
Sentry,"Developer, Infra and Data platforms",Access the Sentry platform programmatically to manage resources and export data.,"Bearer Token, OAuth2",Self-serve free,Users can create authentication tokens and sign up for Sentry accounts self-serve.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://docs.sentry.io/api/"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.sentry.io/api/...</a>",None found,Not documented,No,No,JSON,HIGH,70
Notion,Productivity and Project Management,"Read, create, and update Notion workspace pages, databases, users, comments, and more.","OAuth2, Bearer Token, API Key",Self-serve free,"Developers can create internal connections, public connections, and personal access tokens directly through the developer portal.",REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://developers.notion.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.notion.com/...</a>",JavaScript,Not documented,Yes,No,JSON,HIGH,71
Airtable,Productivity and Project Management,"Cloud collaboration platform with structured field types, relational links, and built-in automations.",OAuth2,Self-serve free,Connects in one click via OAuth and provides self-serve CLI installation via npm.,REST (Medium (20-100 endpoints)),"<a href=""https://airtable.com/developers"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,Not found in docs,"<a href=""https://airtable.com/developers"" target=""_blank"" class=""text-blue-600 hover:underline"">airtable.com/developers...</a>",JavaScript,Not found in docs,No,No,JSON,HIGH,72
Linear,Productivity and Project Management,Streamlined issue tracking and project management tool for high-performing teams.,"OAuth2, API Key",Self-serve free,Developers can immediately use personal API keys or set up OAuth 2.0 without contacting sales.,GraphQL (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developers.linear.app"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.linear.app...</a>","TypeScript, JavaScript",Not documented,Yes,No,JSON,MEDIUM,73
Jira,Productivity and Project Management,Not found in docs,,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,"Insufficient documentation content provided to analyze API capabilities, authentication, or endpoints.",,,Not found in docs,No,No,JSON,MEDIUM,74
Asana,Productivity and Project Management,"Integrate tools, automate actions, and customize your workflows with Asanaâ€™s developer platform.","OAuth2, Bearer Token",Self-serve free,Developers can get started freely via the documentation and quick start guides.,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://developers.asana.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.asana.com...</a>",None found,Not documented,Yes,No,JSON,HIGH,75
Monday.com,Productivity and Project Management,"An expressive GraphQL API to interact with workflows, automate processes, and power integrations.","OAuth2, Other",Self-serve free,Open a developer account to get started with the developer platform.,GraphQL (Broad (100+ endpoints)),"<a href=""developer.monday.com"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None found,"<a href=""developer.monday.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.monday.com...</a>",JavaScript,Not documented,Yes,Yes,JSON,HIGH,76
ClickUp,Productivity and Project Management,"Project management platform for tasks, docs, goals, and team collaboration.",OAuth2,Self-serve free,Public API specification and developer access are available directly through the developer portal.,REST (Broad (100+ endpoints)),"<a href=""https://developer.clickup.com"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,,"<a href=""https://developer.clickup.com/api"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.clickup.com/api...</a>, <a href=""https://developer.clickup.com/llms.txt"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.clickup.com/llms.txt...</a>",None found,Not documented,Yes,No,JSON,MEDIUM,77
Coda,Productivity and Project Management,"Programmatically interact with data in Coda documents, pages, tables, and rows.","Bearer Token, API Key, OAuth 2.0",Self-serve free,"The Coda API is made available to all users, with rate limits applying based on workspace tiers.",REST (Medium (20-100 endpoints)),"<a href=""https://coda.io/developers"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://coda.io/developers"" target=""_blank"" class=""text-blue-600 hover:underline"">coda.io/developers...</a>","JavaScript, Python, None found",Varies by endpoint and plan,Yes,No,JSON,HIGH,78
Smartsheet,Productivity and Project Management,Collaborative work management platform with robust APIs for tracking projects and tasks.,OAuth2,Self-serve free,"Developer tools registration allows applications to request user authorization, standard for developer access.",REST (Broad (100+ endpoints)),"<a href=""smartsheet.com/developers"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""smartsheet.com/developers"" target=""_blank"" class=""text-blue-600 hover:underline"">smartsheet.com/developers...</a>","C#, Java, Node.js, Python",Not documented,Yes,No,JSON,HIGH,79
Harvest,Productivity and Project Management,"Time tracking, expense tracking, and invoicing tool for project management.","OAuth2, Bearer Token",Self-serve paid,Harvest is a paid subscription service with standard accounts that can access API settings.,REST (Medium (20-100 endpoints)),No,Ready,None,"<a href=""https://help.getharvest.com/api-v2"" target=""_blank"" class=""text-blue-600 hover:underline"">help.getharvest.com/api-v2...</a>",None found,Not documented,No,No,JSON,HIGH,80
Stripe,Finance and Fintech,Payment processing and financial infrastructure platform for online businesses.,"API Key, Basic Auth, Bearer Token",Self-serve free,Sign up for a Stripe account online for free and immediately access test mode API keys.,REST (Broad (100+ endpoints)),No,Ready,Not found in docs,"<a href=""https://stripe.com/docs/api"" target=""_blank"" class=""text-blue-600 hover:underline"">stripe.com/docs/api...</a>","Ruby, Python, PHP, Java, Node.js, Go, .NET",Not found in docs,Yes,Yes,JSON,HIGH,81
Plaid,Finance and Fintech,Connect your users' bank accounts and financial data to your application.,"Other, API Key",Self-serve free,Not found in docs,REST (Broad (100+ endpoints)),"<a href=""https://plaid.com/docs"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://plaid.com/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">plaid.com/docs...</a>",Not found,Not documented,No,No,JSON,HIGH,82
Binance,Finance and Fintech,"Cryptocurrency exchange platform providing spot, futures, and margin trading APIs.","API Key, HMAC SHA256, Ed25519",Self-serve free,Users can create an account and generate API keys instantly on the Binance platform without manual approval.,REST and WebSocket (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://binance-docs.github.io/apidocs/"" target=""_blank"" class=""text-blue-600 hover:underline"">binance-docs.github.io/apidocs...</a>, <a href=""https://developers.binance.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">developers.binance.com/...</a>","Python, JavaScript, Java, Go, C#","Varies by endpoint and request weight (e.g., 1200 request weight per minute standard limit)",Yes,Yes,JSON,HIGH,83
Paygent Connect,Finance and Fintech,Not found in docs,Other,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,"The provided documentation is for an AI product and robotics company (Developer Co., Ltd.) rather than the 'Paygent Connect' API service.",,,Not found in docs,No,No,JSON,HIGH,84
iPayX,Finance and Fintech,Neutral FX verification layer auditing foreign-exchange transactions against mid-market rates.,Not found in docs,Not found in docs,No API access or self-serve documentation provided in the text.,Not found in docs (Not found in docs),No,Not feasible,"No API documentation, endpoints, or technical integration guides provided in the text.","<a href=""ipayx.ai/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">ipayx.ai/docs...</a>",None found,Not documented,No,No,JSON,MEDIUM,85
QuickBooks,Finance and Fintech,"Comprehensive accounting, invoicing, payroll, and payment processing platform for small businesses.",OAuth2,Self-serve free,Developers can sign up for a free developer account on the Intuit Developer portal and create sandbox apps immediately.,"REST (Comprehensive (Accounting, Payments, Payroll, Time Tracking))",No,Ready,None,"<a href=""https://developer.intuit.com/app/developer/qbo/docs"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.intuit.com/app/devel...</a>","Python, JavaScript, PHP, Ruby, Java, .NET",500 requests per minute per realm ID for Accounting API,Yes,Yes,JSON,HIGH,86
Xero,Finance and Fintech,Cloud-based accounting software platform powering small business financial management and automation integrations.,OAuth2,Self-serve free,Sign up for a free account to build on the Xero platform and access developer tools.,REST (Broad (100+ endpoints)),"<a href=""https://developer.xero.com"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://developer.xero.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.xero.com...</a>",Not found in docs,Not documented,No,Yes,JSON,HIGH,87
Brex,Finance and Fintech,"A fully unified spend platform offering corporate cards, expense management, travel, and bill pay.",Bearer Token,Self-serve free,Not found in docs,REST (Medium (20-100 endpoints)),No,Ready,,"<a href=""https://developer.brex.com"" target=""_blank"" class=""text-blue-600 hover:underline"">developer.brex.com...</a>",None found,Not documented,Yes,No,JSON,HIGH,88
Ramp,Finance and Fintech,"Corporate card, expense management, and financial operations platform API.",Other,Admin approval required,Not found in docs,REST (Broad (100+ endpoints)),No,Ready,None,"<a href=""https://docs.ramp.com/llms.txt"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.ramp.com/llms.txt...</a>, <a href=""https://docs.ramp.com/openapi/developer-api.json"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.ramp.com/openapi/develope...</a>",None found,Not documented,Yes,Yes,JSON,MEDIUM,89
PitchBook,Finance and Fintech,"Access private market data, venture capital, private equity, and M&A intelligence via enterprise-grade data feeds.","API Key, OAuth2",Partner/contact-sales only,"PitchBook API access is restricted to enterprise customers. Access requires a signed agreement, NDA, and provisioning by a dedicated account representative.",REST (Broad (100+ endpoints)),No,Significant work,"Closed ecosystem: No public developer documentation, no sandbox environment, and strict contractual data redistribution limits.","<a href=""https://pitchbook.com/platform/api"" target=""_blank"" class=""text-blue-600 hover:underline"">pitchbook.com/platform/api...</a>",None found,Varies by contract/tier,No,No,JSON,HIGH,90
NotebookLM,"AI, Research and Media-native","Integrate Gemini AI models for multimodal reasoning, codebases, and real-time agentic workflows.",API Key,Self-serve free,Provides self-serve access via Google for Developers with free tiers and API keys.,REST (Medium (20-100 endpoints)),No,Ready,Not found in docs,"<a href=""https://cloud.google.com/gemini"" target=""_blank"" class=""text-blue-600 hover:underline"">cloud.google.com/gemini...</a>","Python, JavaScript, Go, Java",Not documented,No,No,JSON,HIGH,91
Otter AI,"AI, Research and Media-native","AI-powered meeting assistant that records, transcribes, and summarizes conversations.","API Key, OAuth2",Partner/contact-sales only,"Otter AI restricts its API access primarily to enterprise customers, trusted partners, or custom integrations upon request, rather than offering a public self-serve developer portal.",REST (Narrow (< 20 endpoints)),No,Significant work,"Lack of publicly available, self-serve open API documentation for general developers.","<a href=""https://help.otter.ai"" target=""_blank"" class=""text-blue-600 hover:underline"">help.otter.ai...</a>",None found,Not documented,No,No,JSON,MEDIUM,92
Fathom,"AI, Research and Media-native","Fathom summarizes meetings, records transcripts, and extracts action items using AI.",,Not found in docs,Not found in docs,Not found in docs (Not found in docs),No,Not feasible,No API documentation or technical specifications are present in the provided text.,"<a href=""fathom.video"" target=""_blank"" class=""text-blue-600 hover:underline"">fathom.video...</a>",,Not found in docs,No,No,JSON,HIGH,93
Consensus,"AI, Research and Media-native",AI-powered academic search engine finding insights directly from scientific research papers.,API Key,Partner/contact-sales only,Consensus API access typically requires contacting their sales or partnership team for enterprise access rather than automated self-serve signup.,REST (Narrow (< 20 endpoints)),No,Minor work,"Public documentation is minimal or gated, requiring custom API credentials and integration mapping.","<a href=""https://consensus.app"" target=""_blank"" class=""text-blue-600 hover:underline"">consensus.app...</a>",None found,Not documented,No,No,JSON,LOW,94
Reducto,"AI, Research and Media-native","Agentic document platform for production-grade document processing, classification, extraction, and editing at scale.",Other,Self-serve paid,"Quickstart and API access are available directly, with SaaS and deployment options.",REST (Narrow (< 20 endpoints)),"<a href=""https://reducto.ai"" target=""_blank"" class=""text-blue-600"">Yes</a>",Ready,None,"<a href=""https://reducto.ai"" target=""_blank"" class=""text-blue-600 hover:underline"">reducto.ai...</a>","Python, Node.js, Go",Not documented,No,No,JSON,HIGH,95
Devin,"AI, Research and Media-native","Autonomous AI software engineer that can write, run, and test code.",Other,Self-serve paid,Individual and Teams plans are available for sign-up at app.devin.ai.,REST (Narrow (< 20 endpoints)),No,Minor work,"API documentation details and endpoints are not fully exposed in the provided text, requiring inspection of /llms.txt.","<a href=""https://docs.devin.ai"" target=""_blank"" class=""text-blue-600 hover:underline"">docs.devin.ai...</a>",None found,Not documented,No,No,JSON,HIGH,96
higgsfield,"AI, Research and Media-native",Unified integration point for generative media models supporting asynchronous requests and webhooks.,API Key,Not found in docs,Not found in docs,REST (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""higgsfield.ai/cli"" target=""_blank"" class=""text-blue-600 hover:underline"">higgsfield.ai/cli...</a>","Python, TypeScript",Not documented,Yes,No,JSON,HIGH,97
Mermaid CLI,"AI, Research and Media-native",Command-line tool to render Mermaid diagrams to various formats.,Other,Open source / no auth needed,It is an open-source CLI tool requiring no authentication or API keys.,CLI (Narrow (< 20 endpoints)),No,Ready,None,"<a href=""github.com/mermaid-js/mermaid-cli"" target=""_blank"" class=""text-blue-600 hover:underline"">github.com/mermaid-js/mermaid-...</a>",JavaScript,Not documented,No,No,Files (PNG/SVG/PDF),HIGH,98
YouTube Transcript,"AI, Research and Media-native","Extract YouTube transcripts, search videos, browse channels, and extract playlists via REST API.",Bearer Token,Self-serve free,The documentation mentions a 'Get Started Free' option and mentions credits per request.,REST (Narrow (< 20 endpoints)),Yes,Ready,Not found in docs,"<a href=""https://transcriptapi.com/"" target=""_blank"" class=""text-blue-600 hover:underline"">transcriptapi.com/...</a>",None found,Not documented,No,No,JSON,HIGH,99
Grain,"AI, Research and Media-native","API for accessing and managing meeting recordings, transcripts, and participants in Grain.","OAuth2, API Key, Bearer Token",Self-serve paid,Tokens and OAuth apps can be generated directly via user settings/integrations.,REST (Narrow (< 20 endpoints)),No,Ready,,"<a href=""https://grain.com/app/settings/integrations?tab=api"" target=""_blank"" class=""text-blue-600 hover:underline"">grain.com/app/settings/integra...</a>",None found,300 req/min,No,No,JSON,HIGH,100
